lat,lon,site
34.07977740135135,-119.01279468175676,Big Sycamore Cyn
34.084699111624325,-118.76902113010007,Castro Crest
34.05474011277174,-118.8794625013587,Charmlee 
34.1870629872814,-118.7463971518283,Cheseboro Cyn
34.199111195911414,-118.77645552640546,China Flat
34.09459754070352,-119.06191287738693,Chumash Trail
34.13353175443787,-118.75590498816568,Cornell Corners
34.077913275261324,-118.988178970964,Deer Creek Road
34.140778648264984,-118.45686085173502,Deervale Pl
34.1082015192953,-118.41206387751677,Franklin Cyn 
34.03698416605166,-118.80706856826568,Kanan South
34.10050496259843,-118.70611301181103,King Gillette
34.10417663423589,-118.74130865167508,Malibu Creek SP
34.12068225859873,-118.92506202611465,Mishe Mokwa
34.06667405658199,-118.90796630138568,Nich Flat
34.104715217314485,-118.64726113898705,Red Rock Cyn
34.098963949275365,-118.81495421428572,Rocky Oaks
34.067850709954236,-118.5092045715103,Rustic Cyn
34.04272655319149,-118.75270918676122,Solstice Cyn Terrace
34.082745691749174,-118.55774922970296,Trailer Canyon
34.09873524496288,-118.57892640827147,Trippet Ranch
34.12847349289618,-118.82539323606558,Triunfo Creek Park
34.12184961935484,-118.49799671612904,Westridge Canyonback
